IDNO,Name,Regions,OpposeSupport,PartyAffliation,i,we,you,shehe,they,past,present,future,negate,social,posemo,negemo,insight,cause,discrep,tentat,certain,inhib,incl,excl,motion,achieve,money,relig,death
472,Carper,1,1,2,1.53,3.4,0,1.02,.81,1.53,5.65,1.66,.98,8.15,3.18,3.65,2,2.21,1.91,2.12,1.32,.76,5.56,2,1.61,3.61,.47,.08,.72
504,Lieberman,1,1,2,1.86,1.91,0,1.02,.37,2.88,5.88,.5,1.12,7.14,2.41,2.88,2.72,2.2,.71,1.62,.94,1.1,4.55,2.12,1.78,3.48,.42,.03,.73
465,Dewine,1,1,1,1.58,2.93,.13,1.26,.44,2.11,7.09,1.45,1.45,8.32,2.33,3.5,2.99,2.52,1.77,1.29,1.8,.76,5.64,1.99,2.02,3.72,.82,.28,.88
377,Leahy,1,0,2,1.83,2.39,.1,.76,.8,2.26,7.38,1.16,1.46,8.11,2.13,2.99,3.32,2.69,1.96,2.33,.83,.96,4.32,2.63,1.8,3.59,.63,.03,.6
406,Byrd,1,0,2,2.87,2.12,.31,1.51,.99,2.44,8.05,1.6,1.54,9.91,2.57,2.52,2.69,1.55,1.78,1.69,1.21,1.32,4.55,1.95,1.6,2.62,.56,.29,.67
359,Kyl,1,1,1,.72,2.56,.03,.89,.5,1.25,6.44,1.39,1.37,6.66,2.15,3.99,2.29,2.93,1.62,2.12,1.51,1.53,4.6,1.92,2.12,2.68,.36,.11,.36
363,Hatch,1,1,1,1.62,2.76,.16,1.07,.65,1.85,5.55,1.72,1.46,8.27,2.47,3.57,2.69,2.04,1.82,1.62,1.98,1.3,5.39,1.98,1.14,2.63,.42,.52,.32
378,Grassley,1,1,1,2.19,1.44,.11,.53,.32,1.76,5.35,.86,.91,5.88,2.62,3.9,2.73,1.93,1.07,2.19,1.23,1.82,3.48,1.87,1.18,2.83,.37,.11,.48
490,Fitzgerald,1,1,1,.8,2,0,.94,.4,1.07,4.61,1.27,.94,6.28,2.94,4.34,1.47,1.67,1.34,1.27,.94,1.8,4.54,1.67,1.14,2.87,.27,.67,.6
364,Nelson,1,1,2,1.32,2.01,.04,1.24,.54,1.63,4.96,1.66,.81,7.08,3.37,3.56,2.05,1.97,1.7,1.05,1.86,1.7,5.42,1.36,1.82,3.52,.35,.08,.7
295,McCain,1,1,1,.71,1.85,0,.64,.5,1.35,4.97,1.63,.99,5.32,2.91,3.26,1.49,2.13,1.7,1.63,1.85,1.06,4.54,1.7,1.92,2.7,.43,.14,.5
22,Bond,1,1,1,1.65,2.27,0,.67,.67,2.16,6.13,1.29,1.08,7.01,2.22,3.61,2.06,2.11,1.6,2.01,1.75,.77,5.15,1.91,1.55,2.22,.57,0,.36
513,Kerry,1,1,2,1.19,2.1,.05,1.24,.78,1.67,5.92,1.23,1.3,7.22,2.44,4.2,2.38,2.84,1.6,2.08,1.55,1.19,4.82,2.04,1.48,3.48,.37,.11,.85
268,Leahy,1,0,2,1.27,1.99,0,.72,.72,1.88,5.47,1.11,1.44,7.08,2.21,3.98,1.82,1.55,1.44,1.49,1.38,1.16,4.7,1.88,1.22,2.16,.44,.17,1
403,Lieberman,1,1,2,1.9,2.39,.21,.93,.26,1.46,7.01,1.22,.95,6.96,2.17,3.27,2.38,2.48,1.57,2,1.31,1.4,4.77,2.08,1.77,2.88,.34,.24,.53
448,Nickles,2,0,1,3.74,3.49,0,1.25,2.24,3.49,7.73,.75,1.5,12.47,2.99,.5,2.24,.75,1.75,3.49,1,1.5,8.48,2,2.24,4.24,1,0,0
293,Domenici,2,0,1,2.63,3.37,1.15,.58,1.15,1.56,10.35,1.89,3.78,11.5,1.81,1.64,2.22,1.81,1.48,2.71,.82,.49,4.35,4.6,1.81,2.79,.58,0,.66
89,Hutchison,2,0,1,1.6,6.09,.32,.64,.8,4.65,10.42,.64,2.08,13.14,1.28,1.28,1.92,1.76,1.6,1.76,1.12,1.76,8.33,2.72,1.92,3.53,.48,0,0
390,Nickles,2,0,1,5.32,2.39,0,1.47,1.65,2.2,11.74,.92,2.02,9.72,1.1,.37,2.02,.92,1.83,2.75,.92,0,4.22,3.67,1.1,2.02,1.65,0,0
288,Gorton,2,0,1,1.24,2.35,.28,.14,.41,.55,5.95,1.24,2.49,5.67,2.63,2.49,1.8,3.73,1.8,1.66,.97,.41,4.56,3.04,1.52,2.9,1.24,0,1.66
231,Hutchinson,2,0,1,2.38,4.1,.13,.13,0,.66,11.11,1.46,.93,8.86,4.1,.4,3.31,1.06,2.38,3.44,2.12,.53,6.61,2.91,2.51,3.31,.26,0,.13
316,Murkowski,2,0,1,2.34,6.25,0,0,.2,.98,7.62,1.37,1.76,10.94,2.54,1.76,3.12,.78,1.95,2.15,1.56,.78,7.03,3.52,2.34,2.73,.2,0,.39
226,Grams,2,0,1,2.65,1.93,0,.48,.96,.96,7.71,.96,2.65,8.19,3.86,1.69,1.2,3.37,1.2,1.2,1.45,1.93,4.58,3.13,1.93,4.58,0,0,.24
291,Brownback,2,0,1,3.07,2.79,.28,0,.56,2.09,10.75,.98,1.96,9.78,3.35,2.37,2.37,.42,2.37,3.63,0,.84,5.59,3.91,1.82,2.23,0,0,.28
246,Dorgan,2,1,2,4.8,1.47,.29,.69,0,3.04,6.95,1.57,.98,9.3,2.35,1.18,2.25,.78,1.67,2.35,2.06,1.37,3.43,2.25,.98,1.96,0,0,.2
440,Specter,2,1,1,4.4,.96,0,0,0,3.06,7.65,.57,1.15,5.16,1.72,.76,3.06,2.49,.38,1.72,.38,.19,2.29,1.91,1.34,2.68,.19,0,.57
