ID #,Name,Date,Venue,State,Region,namest,Party,Honesty,Status,CatThink,ComplexThink,CogProcess,PsychDistance,Year,StartedCongress,YrsInCongress,WordCount
193,Lieberman,2/22/2000,Senate,CT,Iran,LiebermanCT,D,0.919839,0.415934,2.487537,0.727367,-0.000617,2.681565,2000,1989,11,2377
194,Biden,2/22/2000,Senate,DE,Iran,BidenDE,D,0.743148,-0.659381,0.080535,1.484272,-0.49192,-1.076779,2000,1973,27,2100
195,Shelby,2/22/2000,Senate,AL,Iran,ShelbyAL,R,2.447941,-0.647379,2.59153,0.728375,0.173256,2.920244,2000,1979,21,979
196,Feinstein,2/22/2000,Senate,CA,Iran,FeinsteinCA,D,5.603415,-1.220143,2.967549,-1.102412,-2.280082,2.99247,2000,1992,8,830
197,Helms,2/22/2000,Senate,NC,Iran,HelmsNC,R,2.931865,-0.912931,4.184381,-0.884922,-0.446464,6.299681,2000,1973,27,1176
198,Cochran,2/22/2000,Senate,MS,Iran,CochranMS,D,5.329593,-0.95271,1.544254,-3.130855,-1.659708,4.996528,2000,1973,27,709
199,LevinC,2/22/2000,Senate,MI,Iran,LevinCMI,D,5.648701,-3.096861,3.208633,4.41574,3.676227,3.483578,2000,1979,21,372
200,Kyl,2/22/2000,Senate,AZ,Iran,KylAZ,R,6.855518,-1.959316,4.237072,-1.736682,-1.451789,5.491229,2000,1995,5,882
206,Specter,3/12/1998,Senate,PA,Iraq,SpecterPA,R,5.225079,-1.396256,3.566226,-1.172287,0.194845,6.207059,1998,1981,17,866
207,Dorgan,3/12/1998,Senate,ND,Iraq,DorganND,D,1.686181,-1.538247,0.08693,-2.133656,-0.813387,2.739184,1998,1981,17,1653
208,MurkowskiF,3/12/1998,Senate,AK,Iraq,MurkowskiFAK,R,2.607537,-1.789426,2.497902,-0.012522,2.242447,2.937646,1998,1981,17,1636
209,Helms,3/12/1998,Senate,NC,Iraq,HelmsNC,R,0.095967,-1.099148,-0.788777,-2.880748,-1.037567,0.634927,1998,1973,25,379
210,Feinstein,9/5/2002,Senate,CA,Iraq,FeinsteinCA,D,4.522132,-0.186958,0.263044,-0.456498,0.357074,1.587319,2002,1992,10,1858
212,Feinstein,9/25/2002,Senate,CA,Iraq,FeinsteinCA,D,0.542367,0.089737,-1.102666,2.384221,0.82476,-1.093045,2002,1992,10,2067
215,Frist,7/25/2006,Senate,TN,North Korea,FristTN,R,2.71786,-1.345707,3.064171,-1.4367,-0.967691,4.845986,2006,1995,11,904
218,Frist,3/7/2003,Senate,TN,Iraq,FristTN,R,1.593735,0.513197,0.248819,2.070798,-0.318122,2.331376,2003,1995,8,1205
224,Grams,2/27/1998,Senate,MN,Iraq,GramsMN,R,4.736805,-0.942091,1.170035,2.95758,0.923991,2.154703,1998,1993,5,2126
227,Gregg,2/12/1998,Senate,NH,Iraq,GreggNH,R,3.219354,1.666976,0.26014,4.328265,2.151226,0.995265,1998,1993,5,2421
229,Hagel,12/4/2007,Senate,NE,Iran,HagelNE,R,0.679075,0.158012,1.754367,-0.174998,1.74678,3.098185,2007,1997,10,884
230,HutchinsonT,2/25/1998,Senate,AR,Iraq,HutchinsonTAR,R,-4.169869,0.953149,-1.903386,-3.098519,-0.41881,-1.388434,1998,1993,5,1269
237,Kaufman,6/18/2009,Senate,DE,Iran,KaufmanDE,D,3.841956,-1.519498,2.419637,-2.144658,-2.354406,5.895875,2009,2009,0,586
239,Kennedy,3/5/2003,Senate,MA,Iraq,KennedyMA,D,6.427003,-2.785167,4.274638,-2.545662,-2.162739,3.833403,2003,1962,41,215
240,Kennedy,3/13/2003,Senate,MA,Iraq,KennedyMA,D,-0.771329,0.854904,0.994131,0.224725,0.184658,2.525915,2003,1962,41,3550
241,Specter,10/7/2002,Senate,PA,Iraq,SpecterPA,R,5.475062,-1.523326,2.073606,2.514085,0.355784,1.853186,2002,1981,21,1738
242,Kennedy,10/7/2002,Senate,MA,Iraq,KennedyMA,D,4.202041,0.363823,2.778397,0.107883,-0.372148,5.096104,2002,1962,40,1302
250,Kerrey,2/25/1998,Senate,NE,Iraq,KerreyNE,D,-2.130013,1.200851,1.780606,-1.743188,0.051139,2.154526,1998,1989,9,1946
251,Kerrey,2/25/1999,Senate,NE,Iraq,KerreyNE,D,1.221157,-0.358864,0.92096,-1.783514,-0.328878,2.124306,1999,1989,10,1897
252,Kerrey,3/2/2000,Senate,NE,Iraq,KerreyNE,D,3.036091,-0.490192,2.705141,0.011722,0.25089,3.310387,2000,1989,11,1036
253,Kirk,10/13/2011,Senate,IL,Iran,KirkIL,R,1.628279,-0.188127,1.316267,-0.948516,-0.971653,2.684159,2011,2001,10,1362
256,Kyl,8/31/1998,Senate,AZ,Iraq,KylAZ,R,2.077703,-0.214136,1.483611,3.722831,0.385951,1.243752,1998,1995,3,2336
257,Kyl,1/15/2003,Senate,AZ,North Korea,KylAZ,R,0.46847,0.019656,-0.170296,1.400301,0.644495,-0.08474,2003,1995,8,2055
258,Kyl,6/4/2009,Senate,AZ,North Korea,KylAZ,R,3.608379,-0.629664,1.443502,2.579954,0.03456,3.786316,2009,1995,14,1086
259,Kyl,3/2/1998,Senate,AZ,Iraq,KylAZ,R,4.874989,-0.998536,1.509048,4.69661,1.268504,1.626887,1998,1995,3,2364
260,Kyl,10/19/2009,Senate,AZ,Iran,KylAZ,R,5.273546,-0.913725,2.703597,-1.347909,-1.109621,5.413548,2009,1995,14,254
261,Kyl,1/30/2003,Senate,AZ,Iraq,KylAZ,R,1.812283,-0.341572,-0.879037,4.912099,1.55002,-0.859065,2003,1995,8,3825
262,Santorum,1/30/2003,Senate,PA,Iraq,SantorumPA,R,2.554616,-0.070387,-3.439496,7.228785,2.632978,-1.5421,2003,1991,12,1224
263,Kyl,9/23/2002,Senate,AZ,Iraq,KylAZ,R,5.354965,-3.147617,0.988769,4.329251,-0.055782,-2.05853,2002,1995,7,388
264,Kyl,9/19/2011,Senate,AZ,Iran,KylAZ,R,4.483524,-1.166819,0.913607,-3.366175,-1.976894,4.251624,2011,1995,16,449
266,Lautenberg,10/27/2005,Senate,NJ,Iran,LautenbergNJ,D,-1.047441,-1.954254,2.531878,-3.810727,-0.830854,3.427672,2005,1982-2000,20,405
267,Leahy,2/26/1998,Senate,VT,Iraq,LeahyVT,D,2.085898,-0.999671,-0.068611,5.161268,1.840842,0.61248,1998,1975,23,1569
268,Leahy,1/30/2003,Senate,VT,Iraq,LeahyVT,D,2.363515,-0.748791,1.341591,-0.384193,-0.395035,2.586408,2003,1975,28,1809
270,Leahy,3/13/2003,Senate,VT,Iraq,LeahyVT,D,0.812882,-0.148371,0.182991,3.613579,1.349296,1.845447,2003,1975,28,1740
272,LevinC,12/15/2009,Senate,MI,Iran,LevinCMI,D,3.485272,-1.406167,5.560241,-2.701575,-0.283833,6.275394,2009,1979,30,740
273,LevinC,1/9/2003,Senate,MI,Iraq,LevinCMI,D,6.708751,0.11052,3.718392,2.4555,1.054838,5.117774,2003,1979,24,1421
275,LevinC,3/17/2003,Senate,MI,Iraq,LevinCMI,D,3.056438,-0.092199,3.117475,4.188933,0.532489,3.91073,2003,1979,24,1548
280,Lieberman,9/13/2002,Senate,CT,Iraq,LiebermanCT,D,6.486898,-0.87242,1.466862,1.381393,0.369288,2.554679,2002,1989,13,1442
281,Lieberman,10/2/2002,Senate,CT,Iraq,LiebermanCT,D,5.455141,-1.64214,3.937927,3.437821,0.995719,2.683399,2002,1989,13,572
282,Warner,10/2/2002,Senate,VA,Iraq,WarnerVA,R,5.602396,-2.009784,3.186368,-0.820108,1.583177,2.378936,2002,1979,23,332
283,Lott,2/25/1998,Senate,MS,Iraq,LottMS,R,0.456712,-2.326721,-1.083537,-0.756642,0.2132,0.580054,1998,1989,9,766
284,Lott,10/7/1998,Senate,MS,Iraq,LottMS,R,3.468326,-0.336071,0.773766,-1.78291,-0.26815,2.932265,1998,1989,9,584
285,Helms,10/7/1998,Senate,NC,Iraq,HelmsNC,R,-0.036529,-1.402158,1.347651,-1.215502,-1.291336,2.522319,1998,1973,25,492
295,McCain,2/9/1998,Senate,AZ,Iraq,McCainAZ,R,2.223025,-0.386588,2.975307,-0.422707,-0.016308,2.973707,1998,1983,15,1409
296,McCain,2/12/1998,Senate,AZ,Iraq,McCainAZ,R,2.466034,-0.712268,2.821757,2.622537,0.834788,1.787223,1998,1983,15,882
314,Miller,10/3/2002,Senate,GA,Iraq,MillerGA,D,2.941605,-5.903469,-4.799104,0.56031,-0.686745,-7.542319,2002,2000,2,429
315,Moran,4/17/2012,Senate,KS,Iran,MoranKS,R,2.042695,-0.611843,0.622145,-1.243893,0.376409,3.157789,2012,1997,15,1104
318,MurkowskiF,9/5/2002,Senate,AK,Iraq,MurkowskiFAK,R,1.946113,0.769301,0.922749,0.791597,1.876496,0.204655,2002,1981,21,1054
319,Byrd,9/5/2002,Senate,WV,Iraq,ByrdWV,D,1.217097,-1.959654,-2.54633,0.979371,1.333681,-7.897746,2002,1959,43,511
320,MurkowskiF,3/4/2002,Senate,AK,Iraq,MurkowskiFAK,R,0.119705,0.271725,-1.698556,-1.86317,-0.039522,-1.242245,2002,1981,21,1454
321,MurkowskiF,3/12/2002,Senate,AK,Iraq,MurkowskiFAK,R,-4.736808,1.51151,-1.797564,-2.760864,-0.019626,-0.393862,2002,1981,21,2827
322,McCain,5/21/2012,Senate,AZ,Iran,McCainAZ,R,5.339528,-3.465493,-2.312955,4.336743,2.184459,-2.514294,2012,1983,29,262
323,Graham,5/21/2012,Senate,SC,Iran,GrahamSC,D,0.363205,0.175101,-0.523961,3.271743,3.410646,-3.368963,2012,1995,17,255
324,Reid,5/21/2012,Senate,NV,Iran,ReidNV,D,1.144155,-1.981171,-2.251713,0.843429,3.67678,-4.030912,2012,1983,29,162
325,Johnson,5/21/2012,Senate,SD,Iran,JohnsonSD,D,4.232093,-3.239645,2.879074,-7.220711,-1.825011,3.29647,2012,1987,25,202
326,Menendez,5/21/2012,Senate,NJ,Iran,MenendezNJ,D,5.9268,-1.406167,4.551503,1.5215,-0.617916,5.089623,2012,1993,19,739
327,Schumer,5/21/2012,Senate,NY,Iran,SchumerNY,D,1.658472,-0.771353,-0.519198,-0.285157,0.102333,-1.264358,2012,1981,31,327
328,Brown,5/21/2012,Senate,OH,Iran,BrownOH,D,2.077011,0.130779,2.095072,5.652429,0.91801,0.396325,2012,1993,19,206
329,Lott,5/22/1998,Senate,MS,Iran,LottMS,R,6.03877,-1.269738,-1.794124,0.908642,-0.307206,-0.753983,1998,1989,9,1445
330,Brownback,5/22/1998,Senate,KS,Iran,BrownbackKS,R,-0.354798,-0.780479,1.094402,-1.018515,0.437547,2.350947,1998,1996,2,830
331,Kyl,5/22/1998,Senate,AZ,Iran,KylAZ,R,3.281541,-1.393688,2.617424,0.562217,-0.592843,3.357571,1998,1995,3,1189
332,Lieberman,5/22/1998,Senate,CT,Iran,LiebermanCT,D,3.892558,-1.06924,1.982101,1.97356,0.427436,2.315933,1998,1989,9,2199
333,Faircloth,5/22/1998,Senate,NC,Iran,FairclothNC,D,0.26732,-1.704033,0.100702,0.836127,2.545551,-1.278476,1998,1993,5,590
334,Biden,5/22/1998,Senate,DE,Iran,BidenDE,D,1.230643,0.014734,-1.578145,0.770512,-0.276151,-0.338515,1998,1973,25,3489
335,Domenici,5/22/1998,Senate,NM,Iran,DomeniciNM,R,2.887575,-0.80298,4.924365,-0.856347,0.286636,6.369592,1998,1973,25,1466
