"","ID","Region","Name","Party","Date","Venue","Foundation","Reference","Coverage"
"1783",269,"Sudan","Leahy",1,"6/6/2006","Senate","Purity",1,0.0215
"1787",271,"Sudan","Leahy",1,"9/19/2006","Senate","Purity",2,0.0166
"1790",267,"Iraq","Leahy",1,"2/26/1998","Senate","Purity",2,0.0111
"1797",1574,"Afghanistan","LeeCA",1,"9/14/2001","House","Purity",1,0.0155
"1806",535,"Sudan","LeeCA",1,"4/5/2006","House","Purity",1,0.0143
"1818",561,"Iran","LeeCA",1,"4/15/2008","House","Purity",2,0.0096
"1822",1160,"Iran","LeeCA",1,"7/9/2008","House Hearings","Purity",3,0.0463
"1853",191,"Iraq","LevinC",1,"2/12/1998","Senate","Purity",1,0.0101
"1855",1109,"Kosovo","LevinS",1,"3/17/1998","House","Purity",1,0.0856
"1858",1726,"Afghanistan","LevinS",1,"9/14/2001","House","Purity",1,0.0493
"1878",280,"Iraq","Lieberman",1,"9/13/2002","Senate","Purity",1,0.0079
"1919",190,"Iraq","Lieberman",1,"2/12/1998","Senate","Purity",1,0.0048
"1926",1699,"Afghanistan","Lofgren",1,"9/14/2001","House","Purity",1,0.031
"1933",1712,"Afghanistan","Lowey",1,"9/14/2001","House","Purity",1,0.0359
"1970",2461,"Sudan","Lugar",1,"9/9/2004","Senate Hearings","Purity",1,0.0049
"1977",2021,"Iran","Lugar",1,"3/2/2006","Senate Hearings","Purity",1,0.0021
"2004",2449,"Sudan","Lugar",1,"7/30/2009","Senate Hearings","Purity",1,0.0075
"2023",2216,"Libya","Lugar",1,"6/28/2011","Senate Hearings","Purity",1,0.0036
"2034",2248,"Syria","Lugar",1,"3/1/2012","House Hearings","Purity",1,0.012
"2054",744,"Afghanistan","MaloneyC",1,"2/16/2000","House","Purity",2,0.036
"2058",1246,"Iraq","MaloneyC",1,"10/9/2002","House","Purity",1,0.0173
"2064",1744,"Afghanistan","MaloneyCT",1,"9/14/2001","House","Purity",1,0.0353
"2077",1406,"Iraq","Markey",1,"10/10/2002","House","Purity",1,0.0081
"2091",1732,"Afghanistan","McCarthyNY",1,"9/14/2001","House","Purity",1,0.0312
"2097",1101,"Syria","McCollum",1,"3/16/2005","House","Purity",1,0.0262
"2100",1838,"Sudan","McCollum",1,"5/18/2006","House Hearings","Purity",1,0.0182
"2102",1796,"Sudan","McCollum",1,"9/25/2006","House","Purity",2,0.0612
"2132",758,"Iran","McDermott",1,"9/10/2008","House","Purity",1,0.0162
"2138",1747,"Afghanistan","McGovern",1,"9/14/2001","House","Purity",1,0.0227
"2151",759,"Sudan","McGovern",1,"2/29/2012","House","Purity",1,0.0167
"2160",1604,"Iran","McMahon",1,"10/13/2009","House","Purity",1,0.0257
"2164",542,"Sudan","McNulty",1,"4/5/2006","House","Purity",1,0.0322
"2169",1524,"Iraq","Meehan",1,"10/9/2002","House","Purity",1,0.0124
"2203",2227,"Libya","Menendez",1,"3/31/2011","Senate Hearings","Purity",1,0.0175
"2207",2266,"Libya","Menendez",1,"4/6/2011","Senate Hearings","Purity",1,0.0205
"2243",1566,"Afghanistan","MillerGeorge",1,"9/14/2001","House","Purity",1,0.0322
"2259",1342,"Iraq","MoranVA",1,"10/10/2002","House","Purity",1,0.0204
"2261",553,"Sudan","MoranVA",1,"4/5/2006","House","Purity",1,0.0516
"2263",774,"Sudan","MoranVA",1,"9/19/2006","House","Purity",2,0.0909
"2265",775,"Sudan","MoranVA",1,"7/26/2007","House","Purity",1,0.0738
"2269",1008,"Libya","MoranVA",1,"6/3/2011","House","Purity",2,0.0247
"2274",1051,"Libya","MoranVA",1,"6/24/2011","House","Purity",4,0.0515
"2279",685,"Kosovo","MoranVA",1,"3/24/1998","House","Purity",1,0.0187
"2295",1721,"Afghanistan","Nadler",1,"9/14/2001","House","Purity",2,0.0309
"2329",493,"Syria","NelsonFL",1,"9/9/2013","Senate","Purity",1,0.0063
"2336",1570,"Afghanistan","Norton",1,"9/14/2001","House","Purity",1,0.0737
"2344",2058,"Iran","Obama",1,"3/29/2007","Senate Hearings","Purity",1,0.0162
"2366",783,"Sudan","Pallone",1,"2/14/2006","House","Purity",1,0.0187
"2374",1632,"Afghanistan","Pastor",1,"9/14/2001","House","Purity",1,0.0683
"2384",819,"Sudan","PayneD",1,"4/4/2000","House","Purity",2,0.006
"2389",821,"Sudan","PayneD",1,"6/12/2001","House","Purity",5,0.0105
"2399",822,"Sudan","PayneD",1,"5/13/2004","House","Purity",3,0.0097
"2410",1215,"Sudan","PayneD",1,"11/1/2005","House Hearings","Purity",3,0.0119
"2414",1891,"Sudan","PayneD",1,"11/1/2005","House Hearings","Purity",3,0.0119
"2422",534,"Sudan","PayneD",1,"4/5/2006","House","Purity",1,0.0164
"2427",1839,"Sudan","PayneD",1,"5/18/2006","House Hearings","Purity",1,0.0073
"2433",1354,"Sudan","PayneD",1,"2/8/2007","House Hearings","Purity",1,0.0064
"2445",1679,"Afghanistan","Pelosi",1,"9/14/2001","House","Purity",2,0.0897
"2462",888,"Syria","PetersMI",1,"6/22/2011","House","Purity",1,0.0597
"2466",1634,"Afghanistan","PriceNC",1,"9/14/2001","House","Purity",1,0.0613
"2490",505,"Iraq","Reid",1,"10/7/2002","Senate","Purity",1,0.0139
"2497",397,"Syria","Reid",1,"3/6/2013","Senate","Purity",2,0.14
"2501",491,"Syria","Reid",1,"9/9/2013","Senate","Purity",4,0.0305
"2546",1736,"Afghanistan","Roybal-Allard",1,"9/14/2001","House","Purity",1,0.0574
"2559",428,"Iraq","SarbanesP",1,"10/10/2002","Senate","Purity",1,0.0131
"2574",843,"Sudan","Schiff",1,"7/21/2004","House","Purity",5,0.0553
"2587",556,"Sudan","Schwartz",1,"4/5/2006","House","Purity",1,0.0306
